Official tag,Management tag,Category,Breed,Sex,Date of birth,Sire official tag,Birth Dam official tag,Rearing Dam official tag,Farmlet,Grazing year,End grazing year
UK 362735 202245,2245,Cattle,ST,M,06/03/2021,UK 220207 601568,UK 706021 302937,NA,Green,2022,2022
UK 362735 702243,2243,Cattle,ST,F,05/03/2021,UK 706021 102928,UK 280211 500503,NA,Blue,2022,2022
UK 362735 102237,2237,Cattle,ST,M,03/03/2021,UK 303605 401594,UK 362735 501926,NA,Blue,2022,2022
UK 362735 202238,2238,Cattle,ST,F,03/03/2021,UK 220207 601568,UK 362735 501877,NA,Green,2022,2022
UK 362735 402240,2240,Cattle,ST,M,03/03/2021,UK 303605 401594,UK 362735 102027,NA,Blue,2022,2022
UK 362735 302232,2232,Cattle,ST,F,01/03/2021,UK 380678 601707,UK 706021 502981,NA,Blue,2022,2022
UK 362735 602235,2235,Cattle,ST,M,01/03/2021,UK 380678 601707,UK 362735 101894,NA,Blue,2022,2022
UK 362735 202224,2224,Cattle,ST,M,28/02/2021,UK 220207 601568,UK 706021 102942,NA,Blue,2022,2022
UK 362735 302225,2225,Cattle,ST,M,28/02/2021,UK 303605 401594,UK 362735 701914,NA,Blue,2022,2022
UK 362735 402226,2226,Cattle,ST,M,28/02/2021,UK 220207 601568,UK 362735 601752,NA,Blue,2022,2022
UK 362735 502227,2227,Cattle,STX,F,28/02/2021,UK 142911 303178,UK 323621 201773,NA,Green,2022,2022
UK 362735 102223,2223,Cattle,STX,F,27/02/2021,UK 142911 303178,UK 344680 103388,NA,Blue,2022,2022
UK 362735 102216,2216,Cattle,STX,F,26/02/2021,UK 142911 303178,UK 362735 101173,NA,Green,2022,2022
UK 362735 502213,2213,Cattle,ST,M,25/02/2021,UK 220207 601568,UK 362735 401862,NA,Green,2022,2022
UK 362735 602214,2214,Cattle,STX,M,25/02/2021,UK 142911 303178,UK 324293 101345,NA,Green,2022,2022
UK 362735 702215,2215,Cattle,STX,F,25/02/2021,UK 142911 303178,UK 344680 103353,NA,Blue,2022,2022
UK 362735 102209,2209,Cattle,ST,F,21/02/2021,UK 142911 303178,UK 221217 501179,NA,Blue,2022,2022
UK 362735 302204,2204,Cattle,ST,F,19/02/2021,UK 220207 601568,UK 362735 301875,NA,Blue,2022,2022
UK 362735 202203,2203,Cattle,ST,M,17/02/2021,UK 303605 401594,UK 362735 701970,NA,Green,2022,2022
UK 362735 501744,501744,Cattle,STX,F,01/06/2017,UK 303596 501955,UK 345231 301118,UK 345231 301119,Blue,2018,2018
UK 362735 401743,401743,Cattle,CHX,M,30/05/2017,UK 701354 700138,UK 282700 203560,UK 282700 203561,Green,2018,2018
UK 362735 301735,301735,Cattle,STX,F,10/05/2017,UK 142911 303178,UK 324412 501356,UK 324412 501357,Blue,2018,2018
UK 362735 601731,601731,Cattle,CHX,F,06/05/2017,UK 701354 700138,UK 340536 700503,UK 340536 700504,Green,2018,2018
UK 362735 701732,701732,Cattle,STX,M,06/05/2017,UK 142911 303178,UK 345188 301543,UK 345188 301544,Blue,2018,2018
UK 362735 501730,501730,Cattle,CHX,F,27/04/2017,UK 701354 700138,UK 360161 201395,UK 360161 201396,Green,2018,2018
UK 362735 301728,301728,Cattle,STX,F,22/04/2017,UK 303596 501955,UK 366189 601716,UK 366189 601717,Blue,2018,2018
UK 362735 101726,101726,Cattle,STX,F,21/04/2017,UK 303596 501955,UK 366189 702074,UK 366189 702075,Green,2018,2018
UK 362735 201727,201727,Cattle,CHX,M,21/04/2017,UK 701354 700138,UK 344428 602231,UK 344428 602232,Green,2018,2018
UK 362735 701725,701725,Cattle,CHX,M,21/04/2017,UK 701354 700138,UK 323621 201773,UK 323621 201774,Green,2018,2018
UK 362735 301721,301721,Cattle,CHX,F,10/04/2017,UK 701354 700138,UK 340944 102797,UK 340944 102798,Blue,2018,2018
UK 362735 401722,401722,Cattle,ST,M,10/04/2017,UK 142911 303178,UK 280211 500461,UK 280211 500462,Green,2018,2018
UK 362735 101719,101719,Cattle,STX,F,05/04/2017,UK 303596 501955,UK 340493 301589,UK 340493 301590,Green,2018,2018
UK 362735 601717,601717,Cattle,ST,M,03/04/2017,UK 380678 601707,UK 280211 500482,UK 280211 500483,Blue,2018,2018
UK 362735 401715,401715,Cattle,CHX,F,29/03/2017,UK 701354 700138,UK 345145 501060,UK 345145 501061,Green,2018,2018
UK 362735 701711,701711,Cattle,STX,M,28/03/2017,UK 303596 501955,UK 322393 201984,UK 322393 201985,Blue,2018,2018
UK 362735 601710,601710,Cattle,STX,F,27/03/2017,UK 303596 501955,UK 160299 703371,UK 160299 703372,Blue,2018,2018
UK 362735 501709,501709,Cattle,ST,M,24/03/2017,UK 380678 601707,UK 283928 301096,UK 283928 301097,Green,2018,2018
UK 362735 401708,401708,Cattle,STX,M,23/03/2017,UK 303596 501955,UK 341954 100946,UK 341954 100947,Green,2018,2018
UK 362735 201706,201706,Cattle,ST,M,22/03/2017,UK 380678 601707,UK 280211 700477,UK 280211 700478,Blue,2018,2018
UK 362735 101705,101705,Cattle,ST,M,21/03/2017,UK 142911 303178,UK 280211 500468,UK 280211 500469,Green,2018,2018
UK 362735 601703,601703,Cattle,STX,F,21/03/2017,UK 303596 501955,UK 345406 201418,UK 345406 201419,Green,2018,2018
UK 362735 701704,701704,Cattle,ST,M,21/03/2017,UK 303596 501955,UK 283928 400999,UK 283928 401000,Blue,2018,2018
UK 362735 201699,201699,Cattle,STX,F,20/03/2017,UK 142911 303178,UK 343494 603856,UK 343494 603857,Green,2018,2018
UK 362735 301700,301700,Cattle,ST,F,20/03/2017,UK142911 303178,UK280211 700456,UK280211 700457,Blue,2018,2018
UK 362735 701697,701697,Cattle,STX,M,20/03/2017,UK 303596 501955,UK 361993 201363,UK 361993 201364,Green,2018,2018
UK 362735 501695,501695,Cattle,CHX,M,19/03/2017,UK 701354 700138,UK 362594 300081,UK 362594 300082,Blue,2018,2018
UK 362735 601689,601689,Cattle,STX,F,15/03/2017,UK 303596 501955,UK 340627 201352,UK 340627 201352,Green,2018,2018
UK 362735 701690,701690,Cattle,STX,F,15/03/2017,UK 303596 501955,UK 340627 201352,UK 340627 201352,Green,2018,2018
UK 362735 301686,301686,Cattle,STX,F,14/03/2017,UK 303596 501955,UK 344680 503420,UK 344680 503421,Blue,2018,2018
UK 362735 401687,401687,Cattle,STX,M,14/03/2017,UK 303596 501955,UK 282700 503577,UK 282700 503578,Blue,2018,2018
UK 362735 101684,101684,Cattle,STX,F,13/03/2017,UK 303596 501955,UK 362215 401228,UK 362215 401229,Blue,2018,2018
UK 362735 601682,601682,Cattle,CHX,M,11/03/2017,UK 701354 700138,UK 341095 501059,UK 341095 501060,Blue,2018,2018
UK 362735 301679,301679,Cattle,CHX,F,09/03/2017,UK 701354 700138,UK 340435 503120,UK 340435 503121,Blue,2018,2018
UK 362735 401680,401680,Cattle,ST,F,09/03/2017,UK142911 303178,UK280211 300494,UK280211 300495,Green,2018,2018
UK 362735 101677,101677,Cattle,STX,M,08/03/2017,UK 303596 501955,UK 344903 101937,UK 344903 101938,Blue,2018,2018
UK 362735 401673,401673,Cattle,STX,F,08/03/2017,UK 303596 501955,UK 366189 701724,UK 366189 701725,Green,2018,2018
UK 362735 601675,601675,Cattle,STX,M,08/03/2017,UK 303596 501955,UK 341623 501576,UK 341623 501577,Blue,2018,2018
UK 362735 101670,101670,Cattle,STX,F,07/03/2017,UK 303596 501955,UK 161134 201494,UK 161134 201495,Blue,2018,2018
UK 362735 301672,301672,Cattle,STX,M,07/03/2017,UK 303596 501955,UK 340762 401876,UK 340762 401877,Green,2018,2018
UK 362735 701669,701669,Cattle,STX,F,07/03/2017,UK 303596 501955,UK 344578 601383,UK 344578 601384,Green,2018,2018
UK 362735 501667,501667,Cattle,CHX,M,06/03/2017,UK 701354 700138,UK 723927 401118,UK 723927 401119,Blue,2018,2018
UK 362735 601668,601668,Cattle,CHX,M,06/03/2017,UK 701354 700138,UK 366687 702237,UK 366687 702238,Green,2018,2018
UK 362735 401666,401666,Cattle,STX,F,05/03/2017,UK 303596 501955,UK 344680 103353,UK 344680 103354,Green,2018,2018
UK 362735 101663,101663,Cattle,CHX,M,04/03/2017,UK 701354 700138,UK 341304 402204,UK 341304 402205,Blue,2018,2018
UK 362735 701662,701662,Cattle,ST,M,03/03/2017,UK 142911 303178,UK 280211 500510,UK 280211 500510,Blue,2018,2018
UK 362735 501660,501660,Cattle,CHX,M,01/03/2017,UK 701354 700138,UK 740431 100971,UK 740431 100972,Green,2018,2018
UK 362735 201657,201657,Cattle,ST,F,27/02/2017,UK142911 303178,UK283928 501042,UK283928 501043,Blue,2018,2018
UK 362735 301658,301658,Cattle,ST,M,27/02/2017,UK 303596 501955,UK 283928 101052,UK 283928 101053,Green,2018,2018
UK 362735 401659,401659,Cattle,ST,M,27/02/2017,UK 380678 601707,UK 280211 600476,UK 280211 600477,Green,2018,2018
UK 362735 601654,601654,Cattle,STX,F,27/02/2017,UK 303596 501955,UK 740431 600976,UK 740431 600977,Blue,2018,2018
UK 362735 501653,501653,Cattle,STX,M,24/02/2017,UK 303596 501955,UK 322301 100917,UK 322301 100918,Blue,2018,2018
UK 362735 201650,201650,Cattle,ST,M,17/02/2017,UK 380678 601707,UK 280211 100492,UK 280211 100493,Blue,2018,2018
UK 362735 101649,101649,Cattle,ST,F,14/02/2017,UK380678 601707,UK280211 200479,UK280211 200480,Green,2018,2018
UK 362735 401645,401645,Cattle,ST,M,08/02/2017,UK 380678 601707,UK 283928 301103,UK 283928 301104,Green,2018,2018
UK 362735 501646,501646,Cattle,ST,M,07/02/2017,UK 380678 601707,UK 283928 101080,UK 283928 101081,Blue,2018,2018
UK 362735 301637,301637,Cattle,CHX,M,15/07/2016,UK 141011 400520,UK 343037 201160,UK 343037 201160,Blue,2017,2017
UK 362735 701634,701634,Cattle,CHX,M,12/07/2016,UK 141011 400520,UK 345188 201395,UK 345188 201395,Green,2017,2017
UK 362735 701627,701627,Cattle,LIMX,F,16/06/2016,UK 365879 100867,UK 345188 301543,UK 345188 301543,Green,2017,2017
UK 362735 601626,601626,Cattle,LIMX,M,09/06/2016,UK 365879 100867,UK 324412 501356,UK 324412 501356,Blue,2017,2017
UK 362735 401624,401624,Cattle,CHX,M,19/05/2016,UK 141011 400520,UK 745768 101565,UK 745768 101565,Green,2017,2017
UK 362735 101621,101621,Cattle,CHX,M,10/05/2016,UK 701354 700138,UK 363394 400786,UK 363394 400786,Green,2017,2017
UK 362735 701620,701620,Cattle,CHX,M,08/05/2016,UK 141011 400520,UK 345406 201418,UK 345406 201418,Green,2017,2017
UK 362735 301616,301616,Cattle,CHX,M,01/05/2016,UK 701354 700138,UK 383869 100881,UK 383869 100881,Green,2017,2017
UK 362735 701613,701613,Cattle,CHX,M,25/04/2016,UK 141011 400520,UK 340944 102797,UK 340944 102797,Blue,2017,2017
UK 362735 301609,301609,Cattle,CHX,M,23/04/2016,UK 141011 400520,UK 344853 101116,UK 344853 101116,Blue,2017,2017
UK 362735 401610,401610,Cattle,CHX,F,23/04/2016,UK 141011 400520,UK 344853 101116,UK 344853 101116,Blue,2017,2017
UK 362735 601605,601605,Cattle,LIMX,F,19/04/2016,UK 365879 100867,UK 740732 201721,UK 740732 201721,Blue,2017,2017
UK 362735 501604,501604,Cattle,LIMX,F,17/04/2016,UK 365879 100867,UK 344680 103388,UK 344680 103388,Green,2017,2017
UK 362735 101600,101600,Cattle,CHX,M,14/04/2016,UK 701354 700138,UK 340493 301589,UK 340493 301589,Green,2017,2017
UK 362735 201601,201601,Cattle,LIMX,M,14/04/2016,UK 365879 100867,UK 344680 503420,UK 344680 503420,Blue,2017,2017
UK 362735 701599,701599,Cattle,ST,M,13/04/2016,UK 123916 112296,UK 280211 700456,UK 280211 700456,Green,2017,2017
UK 362735 501597,501597,Cattle,LIMX,F,12/04/2016,UK 365879 100867,UK 342625 101994,UK 342625 101994,Green,2017,2017
UK 362735 401561,401561,Cattle,CHX,M,17/03/2016,UK 141011 400520,UK 366189 701724,UK 366189 701724,Blue,2017,2017
